,model,score,epoch,dataset,ADE,FDE
0,MP-S1,0.4942716857610474,5600,data_5_31_23.pkl,,
1,MP-S2,0.5090016366612111,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/mp_mlp_2048_lr3e-4_s2/mp_mlp_2048_lr3e-4_s2_epoch6000,data_5_31_23.pkl,,
2,MP-S3,0.5638297872340425,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/mp_mlp_2048_lr3e-4_s3/mp_mlp_2048_lr3e-4_s3_epoch6000,data_5_31_23.pkl,,
3,RSSM-S1,0.4574468085106383,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_disc_h_2048_lr3e-4_s1/rssm_disc_h_2048_lr3e-4_s1_epoch3600,data_5_31_23.pkl,,
4,RSSM-S2,0.5531914893617021,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_disc_h_2048_lr3e-4_s2/rssm_disc_h_2048_lr3e-4_s2_epoch3600,data_5_31_23.pkl,,
5,RSSM-S3,0.5654664484451718,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_disc_h_2048_lr3e-4_s3/rssm_disc_h_2048_lr3e-4_s3_epoch3600,data_5_31_23.pkl,,
6,RSSM-Cont-S1,0.4009819967266775,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_cont_h_2048_lr1e-4_s1/rssm_cont_h_2048_lr1e-4_s1_epoch600,data_5_31_23.pkl,,
7,RSSM-Cont-S2,0.3330605564648118,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_cont_h_2048_lr1e-4_s2/rssm_cont_h_2048_lr1e-4_s2_epoch600,data_5_31_23.pkl,,
8,RSSM-Cont-S3,0.4050736497545008,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_cont_h_2048_lr1e-4_s3/rssm_cont_h_2048_lr1e-4_s3_epoch600,data_5_31_23.pkl,,
9,MD-S1,0.4075286415711948,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/md_mlp_2048_lr3e-4_s1/md_mlp_2048_lr3e-4_s1_epoch9400,data_5_31_23.pkl,,
10,MD-S2,0.4108019639934533,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/md_mlp_2048_lr3e-4_s2/md_mlp_2048_lr3e-4_s2_epoch9200,data_5_31_23.pkl,,
11,MD-S3,0.4345335515548281,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/md_mlp_2048_lr3e-4_s3/md_mlp_2048_lr3e-4_s3_epoch9200,data_5_31_23.pkl,,
12,TF-Emb2048-S1,0.3707037643207856,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/tf_emb2048_lr1e-4_s1/tf_emb2048_lr1e-4_s1_epoch600,data_5_31_23.pkl,,
13,TF-Emb2048-S2,0.2618657937806874,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/tf_emb2048_lr1e-4_s2/tf_emb2048_lr1e-4_s2_epoch600,data_5_31_23.pkl,,
14,TF-Emb2048-S3,0.251227495908347,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/tf_emb2048_lr1e-4_s3/tf_emb2048_lr1e-4_s3_epoch600,data_5_31_23.pkl,,
15,GT End State S1,0.2160392798690671,/mnt/fs2/locross/analysis/models/gt_end_state_s1/mp_model_epoch4600,swm_data.pkl,,
16,GT End State S2,0.1857610474631751,/mnt/fs2/locross/analysis/models/gt_end_state_s2/mp_model_epoch6400,swm_data.pkl,,
17,GT End State S3,0.2037643207855974,/mnt/fs2/locross/analysis/models/gt_end_state_s3/mp_model_epoch6000,swm_data.pkl,,
18,GT End State S1,0.11783960720130933,4400,swm_data.pkl,2.970423698425293,1.347694754600525
19,GT End State S2,0.12193126022913257,6200,swm_data.pkl,2.8542912006378174,1.1240990161895752
20,GT End State S3,0.13175122749590834,5800,swm_data.pkl,2.8268988132476807,1.0436298847198486
