,Model,Behavior,Mean,StdErr
0,Multistep Predictor,Collaborative Gathering,1.6671027143796284,0.05816140367742323
1,Multistep Predictor,Adversarial Gathering,4.792587598164876,0.13645293285486573
2,Multistep Predictor,Single-step Gathering,2.7437777717908225,0.5368827829972633
3,Multistep Predictor,Random,5.952382632664272,0.24136654250969297
4,Multistep Predictor,Multi-step Gathering,3.7614718278249106,0.5100330012977923
5,Multistep Predictor,Chasing,6.2107837200164795,0.14246608981205233
6,Multistep Predictor,Mimicry,7.277470827102661,0.11618102112690532
7,RSSM Discrete,Collaborative Gathering,1.4021055698394775,0.03444784589007784
8,RSSM Discrete,Adversarial Gathering,4.454593300819397,0.17150334317300808
9,RSSM Discrete,Single-step Gathering,2.6909263705213866,0.6470420281711059
10,RSSM Discrete,Random,6.433851696196056,0.26199281285770715
11,RSSM Discrete,Multi-step Gathering,4.076421986023585,0.5571210495855515
12,RSSM Discrete,Chasing,6.167645851771037,0.09727770154018027
13,RSSM Discrete,Mimicry,7.6590339342753095,0.06262208787960406
14,RSSM Continuous,Collaborative Gathering,4.023811260859172,0.712462091741172
15,RSSM Continuous,Adversarial Gathering,6.987064202626546,0.6410227620002056
16,RSSM Continuous,Single-step Gathering,5.258624583482742,0.8604979858974314
17,RSSM Continuous,Random,8.556931495666504,0.27879245066418884
18,RSSM Continuous,Multi-step Gathering,6.195212781429291,0.7132354411133089
19,RSSM Continuous,Chasing,7.894059340159099,0.5694387178664342
20,RSSM Continuous,Mimicry,9.489017804463705,0.4522740328358924
21,Multistep Delta,Collaborative Gathering,1.9811718265215557,0.06460798338006526
22,Multistep Delta,Adversarial Gathering,4.74808406829834,0.13868181689249814
23,Multistep Delta,Single-step Gathering,3.0222408970197043,0.5232008282231141
24,Multistep Delta,Random,6.101765700748989,0.23174702718620666
25,Multistep Delta,Multi-step Gathering,3.9592944582303367,0.4912113467401741
26,Multistep Delta,Chasing,5.798652648925781,0.09177564359665445
27,Multistep Delta,Mimicry,7.352632522583008,0.11900791146627185
28,Transformer,Collaborative Gathering,11.64290714263916,0.24877753822853238
29,Transformer,Adversarial Gathering,12.01611359914144,0.20621321296979397
30,Transformer,Single-step Gathering,11.890150705973307,0.13351305925165438
31,Transformer,Random,12.449390683855329,0.11874108524683705
32,Transformer,Multi-step Gathering,12.217165549596151,0.17610899528334217
33,Transformer,Chasing,12.446385860443115,0.1679265080351692
34,Transformer,Mimicry,13.017574628194174,0.11048898123684257
35,SGNet,Collaborative Gathering,3.370329260826111,0.19819395354223576
36,SGNet,Adversarial Gathering,5.060093641281128,0.21729718121719252
37,SGNet,Single-step Gathering,4.330873727798462,0.41170108358913565
38,SGNet,Random,6.086318220411028,0.3056008724480258
39,SGNet,Multi-step Gathering,4.524559795856476,0.5899121646696063
40,SGNet,Chasing,5.273616313934326,0.15829917973467283
41,SGNet,Mimicry,7.0596923828125,0.11934942256442119
49,Hierarchical Oracle Model,Collaborative Gathering,1.0584892332553864,0.04209274738703401
50,Hierarchical Oracle Model,Adversarial Gathering,3.3220697244008384,0.07665399505681951
51,Hierarchical Oracle Model,Single-step Gathering,2.2660729636748633,0.3956094824554083
52,Hierarchical Oracle Model,Random,4.4643954663049605,0.23146823078765888
53,Hierarchical Oracle Model,Multi-step Gathering,2.1585738261540732,0.3950113461589151
54,Hierarchical Oracle Model,Chasing,3.690662225087484,0.15963131606957592
55,Hierarchical Oracle Model,Mimicry,5.760518868764241,0.1582751570341123
